estandar;2023-06-03;2023-06-24;L-M-I-J-V;35
estandar;2023-06-03;2023-06-24;S-D;37
estandar;2023-06-25;2023-07-03;L-M-I-J-V;37
estandar;2023-06-25;2023-07-03;S-D;40
estandar;2023-07-04;2023-07-18;L-M-I-J-V;39
estandar;2023-07-04;2023-07-18;S-D;43
estandar;2023-07-19;2023-07-31;L-M-I-J-V;38
estandar;2023-07-19;2023-07-31;S-D;41
estandar;2023-08-01;2023-08-18;L-M-I-J-V;40
estandar;2023-08-01;2023-08-18;S-D;43
estandar;2023-08-19;2023-08-28;L-M-I-J-V;42
estandar;2023-08-19;2023-08-28;S-D;46 
estandar;2023-08-29;2023-09-20;S-D;37
estandar;2023-08-29;2023-09-20;L-M-I-J-V;37
estandar;2023-09-21;2023-10-20;S-D;40
estandar;2023-09-21;2023-10-20;L-M-I-J-V;39
estandar;2023-10-21;2023-11-15;S-D;43
estandar;2023-10-21;2023-11-15;L-M-I-J-V;38
estandar;2023-11-16;2023-11-30;S-D;41
estandar;2023-11-16;2023-11-30;L-M-I-J-V;40
estandar;2023-12-01;2023-12-20;S-D;43
estandar;2023-12-01;2023-12-20;L-M-I-J-V;42
estandar;2023-12-21;2023-12-31;S-D;46
suite;2023-06-03;2023-06-24;L-M-I-J-V;65
suite;2023-06-03;2023-06-24;S-D;67
suite;2023-06-25;2023-07-03;L-M-I-J-V;67
suite;2023-06-25;2023-07-03;S-D;70
suite;2023-07-04;2023-07-18;L-M-I-J-V;67
suite;2023-07-04;2023-07-18;S-D;84
suite;2023-07-19;2023-07-31;L-M-I-J-V;65
suite;2023-07-19;2023-07-31;S-D;64
suite;2023-08-19;2023-08-28;S-D;89
suite;2023-08-29;2023-09-20;S-D;89
suite;2023-08-29;2023-09-20;L-M-I-J-V;67
suite;2023-09-21;2023-10-20;S-D;80
suite;2023-09-21;2023-10-20;L-M-I-J-V;78
suite;2023-10-21;2023-11-15;S-D;90
suite;2023-10-21;2023-11-15;L-M-I-J-V;78
suite;2023-11-16;2023-11-30;S-D;82
suite;2023-11-16;2023-11-30;L-M-I-J-V;75
suite;2023-12-01;2023-12-20;S-D;62
suite;2023-12-01;2023-12-20;L-M-I-J-V;60
suite;2023-12-21;2023-12-31;S-D;73
suite;2023-12-21;2023-12-31;L-M-I-J-V;77
suite-double;2023-06-03;2023-06-24;S-D;67
suite-double;2023-06-25;2023-07-03;L-M-I-J-V;67
suite-double;2023-06-25;2023-07-03;S-D;70
suite-double;2023-07-04;2023-07-18;L-M-I-J-V;67
suite-double;2023-07-04;2023-07-18;S-D;84
suite-double;2023-07-19;2023-07-31;L-M-I-J-V;65
suite-double;2023-07-19;2023-07-31;S-D;64
suite-double;2023-08-01;2023-08-18;L-M-I-J-V;64
suite-double;2023-08-01;2023-08-18;S-D;75
suite-double;2023-08-19;2023-08-28;L-M-I-J-V;76
suite-double;2023-08-19;2023-08-28;S-D;89
suite-double;2023-08-29;2023-09-20;S-D;89
suite-double;2023-08-29;2023-09-20;L-M-I-J-V;67
suite-double;2023-09-21;2023-10-20;S-D;80
suite-double;2023-09-21;2023-10-20;L-M-I-J-V;78
suite-double;2023-10-21;2023-11-15;S-D;90
suite-double;2023-10-21;2023-11-15;L-M-I-J-V;78
suite-double;2023-11-16;2023-11-30;S-D;82
suite-double;2023-11-16;2023-11-30;L-M-I-J-V;75
suite-double;2023-12-01;2023-12-20;S-D;62
suite-double;2023-12-01;2023-12-20;L-M-I-J-V;60
suite-double;2023-12-21;2023-12-31;S-D;73
suite-double;2023-12-21;2023-12-31;L-M-I-J-V;77
