1234567891;Margarita;25.0;23:02:26.702124100
1234567891;Margarita;25.0;23:02:26.709443200
1234567891;Margarita;25.0;23:02:26.710443800
1234567891;Margarita;25.0;23:02:26.711441700
1234567891;Margarita;25.0;23:02:26.713462
1234567891;Mimosa;29.0;23:03:59.370873900
1234567891;Mimosa;29.0;23:03:59.374950700
1234567891;Mimosa;29.0;23:03:59.375950200
1234567891;Pina Colada;17.0;23:05:04.986265600
1234567891;Pina Colada;17.0;23:05:04.986265600
1234567891;Pina Colada;17.0;23:05:04.988297300
1223200925;Mojito;16.0;00:05:04.988297300
1223200925;Mojito;16.0;00:05:04.988297300
12334567;Ensalada mediterránea con queso feta;40.4;00:22:11.280873100
12334567;Margarita;25.0;00:23:35.911503
